час_мадрид,цикл,подія,регістр,група,назва,попереднє_raw,raw,змінені_біти,значення,одиниця,кнопка_lcd,сторінка_lcd,сценарій_демо,нотатка
2026-07-27T21:03:15.401+02:00,14,КНОПКА_LCD,,,,,,,,,DOWN,P1,demoSolarChargeExport,
2026-07-27T21:03:15.772+02:00,14,КНОПКА_LCD,,,,,,,,,UP,P9,demoSolarChargeExport,
2026-07-27T21:03:16.129+02:00,14,КНОПКА_LCD,,,,,,,,,UP,P8,demoSolarChargeExport,
2026-07-27T21:03:16.492+02:00,14,КНОПКА_LCD,,,,,,,,,UP,P7,demoSolarChargeExport,
2026-07-27T21:03:17.540+02:00,14,КНОПКА_LCD,,,,,,,,,DOWN,P8,demoSolarChargeExport,
2026-07-27T21:03:18.874+02:00,15,КНОПКА_LCD,,,,,,,,,UP,P7,demoSolarChargeExport,
2026-07-27T21:03:19.438+02:00,15,КНОПКА_LCD,,,,,,,,,UP,P6,demoGridHome,
2026-07-27T21:03:19.868+02:00,15,КНОПКА_LCD,,,,,,,,,UP,P5,demoGridHome,
2026-07-27T21:03:20.355+02:00,15,КНОПКА_LCD,,,,,,,,,UP,P4,demoGridHome,
2026-07-27T21:03:21.022+02:00,15,КНОПКА_LCD,,,,,,,,,UP,P3,demoGridHome,
2026-07-27T21:03:21.455+02:00,15,КНОПКА_LCD,,,,,,,,,UP,P2,demoGridHome,
2026-07-27T21:03:21.868+02:00,15,КНОПКА_LCD,,,,,,,,,UP,P1,demoGridHome,
2026-07-27T21:03:22.267+02:00,15,КНОПКА_LCD,,,,,,,,,UP,P9,demoGridHome,
2026-07-27T21:03:23.740+02:00,15,КНОПКА_LCD,,,,,,,,,ENTER,P9,demoGridHome,
2026-07-27T21:03:24.639+02:00,15,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:03:25.350+02:00,16,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:03:25.679+02:00,16,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:03:25.994+02:00,16,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
